Template,Function,Genome,Score,Expected,Template_length,Template_Identity,Template_Coverage,Query_Identity,Query_Coverage,Depth,q_value,p_value,shotgunReadcount,RelavantPercentInVF,PercentageInShotgun,SampleID
VFG034754,"Type III secretion system effector espL1",Escherichia coli O157:H7 str. EDL933,7091,132,1899,93.63,95.89,97.64,104.28,4,6703.21,1e-26,39653846,0.0271313050915727,2.51210067435829e-06,1042A
VFG002416,"polymerized tip adhesin of ECP fibers",Escherichia coli O157:H7 str. EDL933,6634,114,1644,98.78,99.76,99.02,100.24,4.13,6297.15,1e-26,39653846,0.0252302013067262,2.33607655447835e-06,1042A
VFG044159,"enterobactin/ferric enterobactin esterase",Escherichia coli CFT073,6044,84,1203,96.67,100,96.67,100,5.61,5795.91,1e-26,39653846,0.0251385890786906,2.32759413392944e-06,1042A
VFG034849,"Type III secretion system effector EspX1",Escherichia coli O157:H7 str. EDL933,5292,99,1422,89.66,95.57,93.82,104.64,4.59,4999.85,1e-26,39653846,0.0232351926816969,2.1513577399808e-06,1042A
VFG000908,"Hemolysin D",Escherichia coli CFT073,5987,100,1437,98.89,100,98.89,100,4.31,5691.7,1e-26,39653846,0.0230699391303675,2.13605683365383e-06,1042A
VFG000923,"ferrienterobactin outer membrane transporter",Escherichia coli CFT073,5676,157,2241,93.04,96.21,96.71,103.94,2.78,5221.42,1e-26,39653846,0.0223264296190626,2.06721492802353e-06,1042A
VFG048830,"6-phosphogluconate dehydrogenase",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,5183,98,1407,89.27,93.18,95.8,107.32,4.21,4893.9,1e-26,39653846,0.020559441354028,1.90360862905654e-06,1042A
VFG000932,"2,3-dihydroxybenzoate-AMP ligase component of enterobactin synthase multienzyme complex",Escherichia coli CFT073,4365,113,1611,93.92,98.63,95.22,101.38,3.15,4036.01,1e-26,39653846,0.0186435038896436,1.7262110516063e-06,1042A
VFG001444,"putative arylsulfatase",Escherichia coli O18:K1:H7 str. RS218,4063,100,1428,89.99,96.01,93.73,104.16,3.43,3770.62,1e-26,39653846,0.0175166562557414,1.62187568360721e-06,1042A
VFG048797,"UDP-glucose 6-dehydrogenase",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,3828,82,1167,94.43,98.71,95.66,101.3,4.02,3587.84,1e-26,39653846,0.0172492601184092,1.59711734578875e-06,1042A
VFG000933,"isochorismatase",Escherichia coli CFT073,4140,60,858,98.14,100,98.14,100,5.13,3962.03,1e-26,39653846,0.0163952130033532,1.51804070990909e-06,1042A
VFG000931,"isochorismate synthase 1",Escherichia coli CFT073,4215,83,1188,89.98,92.09,97.71,108.59,3.85,3970.32,1e-26,39653846,0.0156892453092938,1.45267481931386e-06,1042A
VFG000924,"ferrienterobactin ABC transporter periplasmic binding protein",Escherichia coli CFT073,3870,67,957,97.49,100,97.49,100,4.4,3672.04,1e-26,39653846,0.0156847291889928,1.45225666954866e-06,1042A
VFG000925,"ferrienterobactin ABC transporter ATPase",Escherichia coli CFT073,3711,57,816,97.3,100,97.3,100,4.9,3541.69,1e-26,39653846,0.0148935644507621,1.37900234338448e-06,1042A
VFG000879,"FimH protein precursor",Escherichia coli CFT073,3517,64,912,91.67,94.08,97.44,106.29,4.15,3328.33,1e-26,39653846,0.0132633324078222,1.22805836923331e-06,1042A
VFG001443,"outer membrane protein A",Escherichia coli O18:K1:H7 str. RS218,3250,73,1041,96.35,98.37,97.95,101.66,3.31,3035.66,1e-26,39653846,0.0126256517179442,1.16901520541716e-06,1042A
VFG000926,"ferrienterobactin ABC transporter permease",Escherichia coli CFT073,3180,71,1017,89.87,93.51,96.11,106.94,3.5,2970.54,1e-26,39653846,0.0123982236028642,1.14795752612999e-06,1042A
VFG034873,"Type III secretion system effector EspX5",Escherichia coli O157:H7 str. EDL933,3095,91,1293,92.58,95.36,97.08,104.87,2.65,2831.01,1e-26,39653846,0.0121709100167023,1.12691045113081e-06,1042A
VFG044165,"enterobactin exporter, iron-regulated",Escherichia coli CFT073,2953,88,1251,94,98.56,95.38,101.46,2.65,2697.61,1e-26,39653846,0.0121707204947537,1.12689290320183e-06,1042A
VFG000877,"FimF protein precursor",Escherichia coli CFT073,2695,37,534,97.94,100,97.94,100,5.47,2583.59,1e-26,39653846,0.0108803030935842,1.0074125312573e-06,1042A
VFG000871,"Type 1 fimbriae Regulatory protein fimB",Escherichia coli CFT073,2734,42,603,98.18,100,98.18,100,4.82,2608.47,1e-26,39653846,0.0108262178205187,1.00240474963817e-06,1042A
VFG000928,"iron-enterobactin ABC transporter permease",Escherichia coli CFT073,2645,70,993,83.59,87.71,95.29,114.01,3.18,2441.17,1e-26,39653846,0.0103166308252036,9.55221843019612e-07,1042A
VFG002413,"regulator protein EcpR",Escherichia coli O157:H7 str. EDL933,2603,41,591,91.88,94.75,96.96,105.54,4.85,2479.99,1e-26,39653846,0.0101162801668445,9.36671278560097e-07,1042A
VFG000873,"Type-1 fimbrial protein, A chain precursor",Escherichia coli CFT073,2059,43,606,79.21,88.45,89.55,113.06,4.67,1933.43,1e-26,39653846,0.0093239460580766,8.63308679811715e-07,1042A
VFG000878,"FimG protein precursor",Escherichia coli CFT073,2323,35,504,97.82,100,97.82,100,4.88,2217.9,1e-26,39653846,0.0091614194772755,8.4826026500625e-07,1042A
VFG048990,"UTP-glucose-1-phosphate uridylyltransferase subunit GalF",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,2403,63,897,87.18,89.74,97.14,111.43,2.98,2218.69,1e-26,39653846,0.00893525976242065,8.27320027510044e-07,1042A
VFG000874,"Fimbrin-like protein fimI precursor",Escherichia coli CFT073,2209,38,540,98.7,100,98.7,100,4.25,2096.64,1e-26,39653846,0.00854860204444252,7.91519202197723e-07,1042A
VFG000872,"Type 1 fimbriae Regulatory protein fimE",Escherichia coli CFT073,2164,42,597,99.16,100,99.16,100,3.71,2040.12,1e-26,39653846,0.00825012732469473,7.63883283386349e-07,1042A
VFG002412,"E. coli common pilus chaperone EcpB",Escherichia coli O157:H7 str. EDL933,1852,47,669,95.07,96.86,98.15,103.24,2.96,1714.13,1e-26,39653846,0.0071445471041023,6.61517075482473e-07,1042A
VFG000875,"Chaperone protein fimC precursor",Escherichia coli CFT073,1760,51,726,97.8,98.9,98.89,101.11,2.51,1611.05,1e-26,39653846,0.0067130370502524,6.21563350676017e-07,1042A
VFG048985,"phosphatase PAP2 family protein",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,1401,44,630,73.17,80.95,90.39,123.53,3.03,1272.04,1e-26,39653846,0.00575588941408022,5.32940587628933e-07,1042A
VFG002414,"E. coli common pilus structural subunit EcpA",Escherichia coli O157:H7 str. EDL933,1801,41,588,80.1,80.44,99.58,124.31,3.1,1679.41,1e-26,39653846,0.00546164530249976,5.05696382876069e-07,1042A
VFG002417,"E. coli common pilus chaperone EcpE",Escherichia coli O157:H7 str. EDL933,1470,53,756,88.89,91.53,97.11,109.25,2.08,1316.2,1e-26,39653846,0.00536118758449935,4.96394954128666e-07,1042A
VFG000905,"Hemolysin C",Escherichia coli CFT073,972,48,675,77.33,81.19,95.26,123.18,1.61,836.73,1e-26,39653846,0.00328658297053278,3.0430630847811e-07,1042A
VFG043508,"Enterococcus faecalis surface protein Fss1, fibrinogen binding protein",Enterococcus faecalis V583,44837,702,5964,98.51,100,98.51,100,7.9,42772.06,1e-26,56697279,0.134472153697569,1.21308830257334e-05,1042AA
VFG002173,"aggregation substance Asa1",Enterococcus faecalis V583,49169,454,3891,87.43,89.28,97.93,112,13.47,47823.49,1e-26,56697279,0.133552075789044,1.20478817710053e-05,1042AA
VFG002196,"polysaccharide lyase, family 8",Enterococcus faecalis V583,30937,499,4119,98.32,99.68,98.64,100.32,7.99,29470.33,1e-26,56697279,0.093629830048423,8.44645143849768e-06,1042AA
VFG002179,"Enterococcal surface protein; Esp",Enterococcus faecalis str. MMH594,36590,674,5622,82.25,82.62,99.55,121.03,6.63,34616.7,1e-26,56697279,0.0878935882362715,7.92897866426793e-06,1042AA
VFG042976,"endocarditis and biofilm-associated pilus tip protein EbpA",Enterococcus faecalis V583,19310,411,3312,99.46,100,99.46,100,5.96,18110.79,1e-26,56697279,0.0563383628215759,5.08234657107464e-06,1042AA
VFG049144,"acriflavine resistance protein B",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,11199,397,3147,83.06,94.63,87.78,105.67,5.72,10062.23,1e-26,56697279,0.0486171220069653,4.38580482202067e-06,1042AA
VFG002164,"aggregation substance PrgB/Asc10",Enterococcus faecalis V583,19661,486,3918,77.69,79.25,98.04,126.18,5.4,18249.54,1e-26,56697279,0.0478547549705744,4.31703084103771e-06,1042AA
VFG043509,"Enterococcus faecalis surface protein Fss2, fibrinogen binding protein",Enterococcus faecalis V583,19763,614,4956,71.69,74.52,96.21,134.2,4.42,17992.38,1e-26,56697279,0.046590143464755,4.20294882607577e-06,1042AA
VFG042978,"endocarditis and biofilm-associated pilus major subunit EbpC",Enterococcus faecalis V583,12828,236,1878,99.68,100.32,99.36,99.68,6.94,12136.76,1e-26,56697279,0.0373173002101711,3.3664352896725e-06,1042AA
VFG002166,"collagen adhesin protein",Enterococcus faecalis V583,10997,255,2025,96.15,98.52,97.59,101.5,5.74,10253.65,1e-26,56697279,0.0326835300779751,2.94841771580193e-06,1042AA
VFG042977,"endocarditis and biofilm-associated pilus minor subunit EbpB",Enterococcus faecalis V583,10381,180,1431,99.37,100,99.37,100,7.41,9851.09,1e-26,56697279,0.0302639406244312,2.73014385148017e-06,1042AA
VFG001443,"outer membrane protein A",Escherichia coli O18:K1:H7 str. RS218,7669,132,1041,82.71,92.51,89.41,108.1,10.88,7281.39,1e-26,56697279,0.029904458332202,2.6977145527968e-06,1042AA
VFG002190,"undecaprenyl diphosphate synthase",Enterococcus faecalis V583,6570,103,816,94.73,95.59,99.1,104.62,8.2,6264.95,1e-26,56697279,0.0182550954147153,1.64681252594169e-06,1042AA
VFG000930,"enterobactin synthase multienzyme complex component, ATP-dependent",Escherichia coli CFT073,6158,494,3882,78.77,83.13,94.76,120.3,1.91,4820.87,1e-26,56697279,0.0175919634198239,1.58699064877639e-06,1042AA
VFG048830,"6-phosphogluconate dehydrogenase",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,4394,179,1407,84.79,92.82,91.35,107.73,4.43,3882.78,1e-26,56697279,0.0165122791582087,1.48959112685131e-06,1042AA
VFG002197,"sugar-binding transcriptional regulator, LacI family",Enterococcus faecalis V583,5152,129,1011,98.52,99.41,99.1,100.6,5.23,4777.56,1e-26,56697279,0.0150020480714275,1.35335149543459e-06,1042AA
VFG042979,"sortase",Enterococcus faecalis V583,4617,109,855,99.18,100.35,98.83,99.65,5.6,4299.44,1e-26,56697279,0.0137132108315638,1.23708404997403e-06,1042AA
VFG049018,"transcriptional regulator RcsB",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,3571,83,651,81.57,91.71,88.94,109.05,7.99,3328.62,1e-26,56697279,0.0136148260148555,1.22820864588346e-06,1042AA
VFG002165,"endocarditis specific antigen",Enterococcus faecalis V583,4655,118,927,99.68,100,99.68,100,5.05,4311.52,1e-26,56697279,0.0133609933166959,1.20531011496228e-06,1042AA
VFG002189,"phosphatidate cytidylyltransferase",Enterococcus faecalis V583,4162,102,801,99.25,100,99.25,100,5.3,3864.61,1e-26,56697279,0.0121164674564749,1.09304004850083e-06,1042AA
VFG049122,"allantoate amidohydrolase",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,2989,158,1236,85.28,95.23,89.55,105.01,3.26,2545.67,1e-26,56697279,0.0109515978956292,9.87955865684535e-07,1042AA
VFG000876,"Outer membrane usher protein fimD precursor",Escherichia coli CFT073,3718,337,2637,75.88,76.94,98.62,129.97,1.48,2817.62,1e-26,56697279,0.00857021390472157,7.73128558775885e-07,1042AA
VFG049120,"allantoinase",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,2463,174,1362,76.21,84.73,89.95,118.02,2.6,1985.08,1e-26,56697279,0.00856357876240435,7.72529995184122e-07,1042AA
VFG000358,"pesticin/yersiniabactin receptor protein",Yersinia pestis CO92,2607,259,2022,70.33,78.73,89.32,127.01,1.82,1922.73,1e-26,56697279,0.00826914153077746,7.4596848399334e-07,1042AA
VFG000933,"isochorismatase",Escherichia coli CFT073,2487,110,858,74.13,81.59,90.86,122.57,4.05,2175.48,1e-26,56697279,0.00809183239454443,7.29973228976646e-07,1042AA
VFG000925,"ferrienterobactin ABC transporter ATPase",Escherichia coli CFT073,2459,104,816,80.76,85.42,94.55,117.07,3.64,2162.07,1e-26,56697279,0.00724133674456066,6.53249067429774e-07,1042AA
VFG000931,"isochorismate synthase 1",Escherichia coli CFT073,2597,152,1188,77.86,80.89,96.25,123.62,2.63,2173.67,1e-26,56697279,0.00721331103253628,6.50720836677663e-07,1042AA
VFG000928,"iron-enterobactin ABC transporter permease",Escherichia coli CFT073,2160,127,993,73.41,80.46,91.24,124.28,3.14,1806.02,1e-26,56697279,0.00716022318117922,6.45931722372642e-07,1042AA
VFG048797,"UDP-glucose 6-dehydrogenase",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,1763,149,1167,73.35,82.01,89.45,121.94,2.33,1360.24,1e-26,56697279,0.00636445504858421,5.74144591233009e-07,1042AA
VFG000924,"ferrienterobactin ABC transporter periplasmic binding protein",Escherichia coli CFT073,1779,122,957,81.19,83.59,97.12,119.62,2.17,1441.99,1e-26,56697279,0.00495442925398631,4.46944591030714e-07,1042AA
VFG049118,"DNA-binding transcriptional repressor AllR",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,1268,105,819,88.64,97.31,91.09,102.76,2.15,984.38,1e-26,56697279,0.00489043474959276,4.411715753859e-07,1042AA
VFG048419,"2,3-dihydro-2,3-dihydroxybenzoate synthetase, isochroismatase",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,1188,109,852,76.41,86.85,87.97,115.14,2.15,896.31,1e-26,56697279,0.00454062370335676,4.09614730594508e-07,1042AA
VFG043627,"type 3 fimbrial major pilin subunit MrkA",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,991,78,609,85.39,98.36,86.81,101.67,2.55,778.93,1e-26,56697279,0.0043595697215965,3.93281648884397e-07,1042AA
VFG000875,"Chaperone protein fimC precursor",Escherichia coli CFT073,1270,93,726,76.72,79.06,97.04,126.48,1.86,1015.53,1e-26,56697279,0.00304701091123639,2.74874254081424e-07,1042AA
VFG000878,"FimG protein precursor",Escherichia coli CFT073,898,64,504,83.73,85.52,97.91,116.94,1.85,720.93,1e-26,56697279,0.00227581833276518,2.05304111100089e-07,1042AA
VFG002417,"E. coli common pilus chaperone EcpE",Escherichia coli O157:H7 str. EDL933,951,97,756,73.81,75.26,98.07,132.86,1.33,695.31,1e-26,56697279,0.00215975896271582,1.94834265831785e-07,1042AA
VFG000872,"Type 1 fimbriae Regulatory protein fimE",Escherichia coli CFT073,867,76,597,80.74,81.24,99.38,123.09,1.49,661.56,1e-26,56697279,0.00206251990608999,1.86062222036655e-07,1042AA
VFG005197,"Fibronectin-binding protein-like protein A",Streptococcus pneumoniae R6,8009,18,1683,90.55,100.06,90.5,99.94,7.32,7952.43,1e-26,27012553,0.393875257142933,6.56947499202717e-06,1042B
VFG001359,"manganese ABC transporter, manganese-binding adhesion liprotein",Streptococcus pneumoniae TIGR4,5586,11,930,83.98,95.38,88.05,104.85,9.67,5553.04,1e-26,27012553,0.274075203262121,4.57132089694041e-06,1042B
VFG002277,"hyaluronidase",Clostridium perfringens str. 13,8937,53,4887,82.2,83.12,98.89,120.31,1.89,8776.77,1e-26,27012553,0.245308548013913,4.09151969381789e-06,1042B
VFG002274,"phospholipase C",Clostridium perfringens str. 13,1681,15,1197,79.78,80.28,99.38,124.56,1.5,1635.51,1e-26,27012553,0.0460570139306879,7.68188394010497e-07,1042B
VFG042972,"signal peptidase I",Streptococcus pneumoniae Taiwan19F-14,1179,7,552,82.25,88.04,93.42,113.58,2.62,1157.74,1e-26,27012553,0.0406839776503449,6.78571118401436e-07,1042B
VFG043508,"Enterococcus faecalis surface protein Fss1, fibrinogen binding protein",Enterococcus faecalis V583,749524,6516,5964,98.51,100,98.51,100,132.07,730200.39,1e-26,13816103,0.158376100030651,0.000795208553750763,1042BB
VFG002173,"aggregation substance Asa1",Enterococcus faecalis V583,734740,4263,3891,93.47,95.73,97.64,104.46,200.6,722048.26,1e-26,13816103,0.150240856285348,0.000754361384185027,1042BB
VFG002196,"polysaccharide lyase, family 8",Enterococcus faecalis V583,593497,4659,4119,98.59,100,98.59,100,153.61,579665.05,1e-26,13816103,0.127221090198332,0.000638778825363371,1042BB
VFG002179,"Enterococcal surface protein; Esp",Enterococcus faecalis str. MMH594,686414,6230,5622,85.38,85.88,99.42,116.45,124.05,667946.05,1e-26,13816103,0.120428000970769,0.000604670631897915,1042BB
VFG042976,"endocarditis and biofilm-associated pilus tip protein EbpA",Enterococcus faecalis V583,360732,3938,3312,99.46,100,99.46,100,111.02,349087.09,1e-26,13816103,0.0739331793991203,0.000371219499992689,1042BB
VFG043509,"Enterococcus faecalis surface protein Fss2, fibrinogen binding protein",Enterococcus faecalis V583,354100,5903,4956,80.47,84.83,94.86,117.89,78.75,336775.58,1e-26,13816103,0.0665700922717247,0.000334249339314506,1042BB
VFG002164,"aggregation substance PrgB/Asc10",Enterococcus faecalis V583,297714,4721,3918,92.27,95.07,97.05,105.18,82.59,283844.52,1e-26,13816103,0.0618561981309652,0.000310580812677708,1042BB
VFG042978,"endocarditis and biofilm-associated pilus major subunit EbpC",Enterococcus faecalis V583,215592,2300,1878,99.68,100.32,99.36,99.68,117.3,208787.58,1e-26,13816103,0.0444353858105503,0.000223110676919854,1042BB
VFG002166,"collagen adhesin protein",Enterococcus faecalis V583,192097,2492,2025,97.48,100,97.48,100,100.18,184746.95,1e-26,13816103,0.0407900170319359,0.000204807230669004,1042BB
VFG042977,"endocarditis and biofilm-associated pilus minor subunit EbpB",Enterococcus faecalis V583,147428,1777,1431,99.37,100,99.37,100,105.24,142181.21,1e-26,13816103,0.0302808669460796,0.00015204064505851,1042BB
VFG002172,"aggregation substance",Enterococcus faecalis V583,153597,4862,3918,82.98,85.94,96.55,116.36,42.6,139605.72,1e-26,13816103,0.0288414580468867,0.000144813353385324,1042BB
VFG002197,"sugar-binding transcriptional regulator, LacI family",Enterococcus faecalis V583,104779,1266,1011,99.11,100,99.11,100,106.85,101040.86,1e-26,13816103,0.0217206848235193,0.000109059854117156,1042BB
VFG002165,"endocarditis specific antigen",Enterococcus faecalis V583,96854,1162,927,99.68,100,99.68,100,105.77,93420.74,1e-26,13816103,0.0197146953462075,9.89877536500804e-05,1042BB
VFG002189,"phosphatidate cytidylyltransferase",Enterococcus faecalis V583,94836,1005,801,99.25,100,99.25,100,121.33,91862.76,1e-26,13816103,0.0195410792226058,9.81160247305629e-05,1042BB
VFG002190,"undecaprenyl diphosphate synthase",Enterococcus faecalis V583,91482,1024,816,99.14,100,99.14,100,115.3,88453.46,1e-26,13816103,0.018917654860492,9.49858025235914e-05,1042BB
VFG042979,"sortase",Enterococcus faecalis V583,82085,1075,855,99.18,100.35,98.83,99.65,99.31,78913.74,1e-26,13816103,0.0171326406248132,8.60232217522252e-05,1042BB
VFG005197,"Fibronectin-binding protein-like protein A",Streptococcus pneumoniae R6,3932,11,1683,88.35,94.12,93.88,106.25,3.08,3898.63,1e-26,35330225,0.445180386833563,2.06788689932106e-06,1042C
VFG001359,"manganese ABC transporter, manganese-binding adhesion liprotein",Streptococcus pneumoniae TIGR4,3137,6,930,85.91,91.18,94.22,109.67,4.46,3117.99,1e-26,35330225,0.345093410559476,1.60297749820852e-06,1042C
VFG001355,"choline binding protein D",Streptococcus pneumoniae TIGR4,2188,9,1347,70.75,77.21,91.63,129.52,2.21,2159.6,1e-26,35330225,0.20972620260696,9.74189518770128e-07,1042C
VFG005197,"Fibronectin-binding protein-like protein A",Streptococcus pneumoniae R6,3030,9,1683,85.74,93.76,91.44,106.65,2.59,3001.72,1e-26,40545083,0.561620954642872,1.39935514926581e-06,1042D
VFG001359,"manganese ABC transporter, manganese-binding adhesion liprotein",Streptococcus pneumoniae TIGR4,2384,5,930,93.12,99.14,93.93,100.87,3.46,2367.91,1e-26,40545083,0.438379045357129,1.09228113619944e-06,1042D
VFG005197,"Fibronectin-binding protein-like protein A",Streptococcus pneumoniae R6,6312,8,1683,83.01,91.98,90.25,108.72,5.13,6285.34,1e-26,30926293,0.528201337766816,3.63014996776322e-06,1042E
VFG001359,"manganese ABC transporter, manganese-binding adhesion liprotein",Streptococcus pneumoniae TIGR4,3370,5,930,87.1,96.24,90.5,103.91,5.02,3353.23,1e-26,30926293,0.29884561689231,2.05386531415171e-06,1042E
VFG042972,"signal peptidase I",Streptococcus pneumoniae Taiwan19F-14,2165,3,552,91.67,98.55,93.01,101.47,4.78,2154.55,1e-26,30926293,0.172953045340874,1.18864805345475e-06,1042E
VFG005197,"Fibronectin-binding protein-like protein A",Streptococcus pneumoniae R6,10902,34,1683,89.96,100.12,89.85,99.88,8.83,10800.27,1e-26,37503161,0.343381234609423,5.71312211173925e-06,1042F
VFG001359,"manganese ABC transporter, manganese-binding adhesion liprotein",Streptococcus pneumoniae TIGR4,8036,19,930,88.28,97.53,90.52,102.54,11.56,7977.75,1e-26,37503161,0.241985812428331,4.02612127970241e-06,1042F
VFG042972,"signal peptidase I",Streptococcus pneumoniae Taiwan19F-14,4512,12,552,93.12,100,93.12,100,9.95,4475.99,1e-26,37503161,0.126757322140435,2.10896807092294e-06,1042F
VFG042975,"surface protein cell wall anchor, sortase_B family",Streptococcus pneumoniae Taiwan19F-14,2912,14,636,70.6,81.45,86.68,122.78,6.33,2869.87,1e-26,37503161,0.0756768090604907,1.25909865657374e-06,1042F
VFG034866,"Type III secretion system effector EspX4",Escherichia coli O157:H7 str. EDL933,2502,35,1581,74.13,78.56,94.36,127.29,1.92,2398.04,1e-26,37503161,0.0550358236904327,9.15677240258153e-07,1042F
VFG001444,"putative arylsulfatase",Escherichia coli O18:K1:H7 str. RS218,1579,32,1428,75.56,80.6,93.74,124.07,1.32,1484.92,1e-26,37503161,0.0350629197518604,5.83371256045323e-07,1042F
VFG034873,"Type III secretion system effector EspX5",Escherichia coli O157:H7 str. EDL933,1543,29,1293,83.53,86.31,96.77,115.86,1.34,1457.62,1e-26,37503161,0.0345124139757475,5.74212028908964e-07,1042F
VFG044159,"enterobactin/ferric enterobactin esterase",Escherichia coli CFT073,1556,27,1203,74.56,77.56,96.14,128.94,1.45,1476.42,1e-26,37503161,0.0312235534574262,5.19492493139866e-07,1042F
VFG000908,"Hemolysin D",Escherichia coli CFT073,1366,32,1437,72.72,73.35,99.15,136.34,0.97,1271.53,1e-26,37503161,0.0235960614151802,3.92587499355807e-07,1042F
VFG000872,"Type 1 fimbriae Regulatory protein fimE",Escherichia coli CFT073,788,13,597,74.71,75.21,99.33,132.96,1.36,748.17,1e-26,37503161,0.0140928790755736,2.34475070125213e-07,1042F
VFG000871,"Type 1 fimbriae Regulatory protein fimB",Escherichia coli CFT073,492,13,603,75.29,77.11,97.63,129.68,0.88,452.2,1e-26,37503161,0.00944325211743954,1.57115319770569e-07,1042F
VFG000877,"FimF protein precursor",Escherichia coli CFT073,509,12,534,73.6,74.91,98.25,133.5,1,473.58,1e-26,37503161,0.00923191827766067,1.53599181113858e-07,1042F
VFG005197,"Fibronectin-binding protein-like protein A",Streptococcus pneumoniae R6,10848,41,1683,88.65,98.63,89.88,101.39,8.67,10723.29,1e-26,29658647,0.196785326210132,7.45446470571567e-06,1042G
VFG001359,"manganese ABC transporter, manganese-binding adhesion liprotein",Streptococcus pneumoniae TIGR4,4970,24,930,85.7,94.62,90.57,105.68,7.09,4897.12,1e-26,29658647,0.085308556219163,3.23159065606472e-06,1042G
VFG045349,"adhesin FdeC",Escherichia coli O45:K1:H7 str. S88,5929,110,4251,78.66,82.9,94.89,120.63,1.64,5604.61,1e-26,29658647,0.0790259905200346,2.99359951532548e-06,1042G
VFG000906,"Hemolysin A",Escherichia coli CFT073,6088,80,3075,81.11,81.69,99.28,122.41,2.02,5852.05,1e-26,29658647,0.0693818459082229,2.62826772453535e-06,1042G
VFG042972,"signal peptidase I",Streptococcus pneumoniae Taiwan19F-14,3591,14,552,93.12,100,93.12,100,8.03,3547.13,1e-26,29658647,0.0606087165489204,2.29593103852776e-06,1042G
VFG000929,"phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex",Escherichia coli CFT073,3475,20,771,73.8,77.95,94.68,128.29,6.45,3413.81,1e-26,29658647,0.0530042479226097,2.00786462589279e-06,1042G
VFG034772,"Type III secretion system effector EspL4",Escherichia coli O157:H7 str. EDL933,4047,58,2187,84.77,86.97,97.48,114.98,2.02,3876.21,1e-26,29658647,0.0525351633578127,1.99009513870784e-06,1042G
VFG000876,"Outer membrane usher protein fimD precursor",Escherichia coli CFT073,3539,70,2637,80.74,81.8,98.7,122.25,1.4,3333.56,1e-26,29658647,0.0412925718952116,1.5642122597718e-06,1042G
VFG000931,"isochorismate synthase 1",Escherichia coli CFT073,2748,31,1188,97.9,100,97.9,100,2.45,2653.77,1e-26,29658647,0.0397981596159528,1.50760212625185e-06,1042G
