accession	study	object_status	bioproject_accession	biosample_accession	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2
SRR14092346	SRP199846	new	PRJNA545312	SAMN07491249	1042K_shotgun	1042K	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1042K_R1_nohumanreads.fastq.gz	1042K_R2_nohumanreads.fastq.gz
SRR14092335	SRP199846	new	PRJNA545312	SAMN13273520	1042KK_shotgun	1042KK	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1042KK_R1_nohumanreads.fastq.gz	1042KK_R2_nohumanreads.fastq.gz
SRR14092324	SRP199846	new	PRJNA545312	SAMN07491251	1042M_shotgun	1042M	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1042M_R1_nohumanreads.fastq.gz	1042M_R2_nohumanreads.fastq.gz
SRR14092313	SRP199846	new	PRJNA545312	SAMN07491252	1042N_shotgun	1042N	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1042N_R1_nohumanreads.fastq.gz	1042N_R2_nohumanreads.fastq.gz
SRR14092174	SRP199846	new	PRJNA545312	SAMN07491253	1042O_shotgun	1042O	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1042O_R1_nohumanreads.fastq.gz	1042O_R2_nohumanreads.fastq.gz
SRR14092163	SRP199846	new	PRJNA545312	SAMN07491254	1042P_shotgun	1042P	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1042P_R1_nohumanreads.fastq.gz	1042P_R2_nohumanreads.fastq.gz
SRR14092312	SRP199846	new	PRJNA545312	SAMN07491255	1042Q_shotgun	1042Q	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1042Q_R1_nohumanreads.fastq.gz	1042Q_R2_nohumanreads.fastq.gz
SRR14092301	SRP199846	new	PRJNA545312	SAMN07491256	1042R_shotgun	1042R	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1042R_R1_nohumanreads.fastq.gz	1042R_R2_nohumanreads.fastq.gz
SRR14092290	SRP199846	new	PRJNA545312	SAMN07491257	1042S_shotgun	1042S	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1042S_R1_nohumanreads.fastq.gz	1042S_R2_nohumanreads.fastq.gz
SRR14092279	SRP199846	new	PRJNA545312	SAMN07491258	1042T_shotgun	1042T	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1042T_R1_nohumanreads.fastq.gz	1042T_R2_nohumanreads.fastq.gz
SRR14092271	SRP199846	new	PRJNA545312	SAMN07491260	1042V_shotgun	1042V	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1042V_R1_nohumanreads.fastq.gz	1042V_R2_nohumanreads.fastq.gz
SRR14092270	SRP199846	new	PRJNA545312	SAMN07491261	1042W_shotgun	1042W	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1042W_R1_nohumanreads.fastq.gz	1042W_R2_nohumanreads.fastq.gz
SRR14092269	SRP199846	new	PRJNA545312	SAMN07491263	1042Y_shotgun	1042Y	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1042Y_R1_nohumanreads.fastq.gz	1042Y_R2_nohumanreads.fastq.gz
SRR14092268	SRP199846	new	PRJNA545312	SAMN07491264	1042Z_shotgun	1042Z	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1042Z_R1_nohumanreads.fastq.gz	1042Z_R2_nohumanreads.fastq.gz
SRR14092267	SRP199846	new	PRJNA545312	SAMN07491265	1044A_shotgun	1044A	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1044A_R1_nohumanreads.fastq.gz	1044A_R2_nohumanreads.fastq.gz
SRR14092266	SRP199846	new	PRJNA545312	SAMN07491266	1044B_shotgun	1044B	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1044B_R1_nohumanreads.fastq.gz	1044B_R2_nohumanreads.fastq.gz
SRR14092265	SRP199846	new	PRJNA545312	SAMN07491267	1044C_shotgun	1044C	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1044C_R1_nohumanreads.fastq.gz	1044C_R2_nohumanreads.fastq.gz
SRR14092264	SRP199846	new	PRJNA545312	SAMN07491268	1044D_shotgun	1044D	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1044D_R1_nohumanreads.fastq.gz	1044D_R2_nohumanreads.fastq.gz
SRR14092263	SRP199846	new	PRJNA545312	SAMN07491269	1044E_shotgun	1044E	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1044E_R1_nohumanreads.fastq.gz	1044E_R2_nohumanreads.fastq.gz
SRR14092262	SRP199846	new	PRJNA545312	SAMN07491270	1044F_shotgun	1044F	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1044F_R1_nohumanreads.fastq.gz	1044F_R2_nohumanreads.fastq.gz
SRR14092260	SRP199846	new	PRJNA545312	SAMN07491271	1044G_shotgun	1044G	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1044G_R1_nohumanreads.fastq.gz	1044G_R2_nohumanreads.fastq.gz
SRR14092259	SRP199846	new	PRJNA545312	SAMN07491272	1044H_shotgun	1044H	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1044H_R1_nohumanreads.fastq.gz	1044H_R2_nohumanreads.fastq.gz
SRR14092258	SRP199846	new	PRJNA545312	SAMN07491273	1044I_shotgun	1044I	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1044I_R1_nohumanreads.fastq.gz	1044I_R2_nohumanreads.fastq.gz
SRR14092257	SRP199846	new	PRJNA545312	SAMN07491274	1044J_shotgun	1044J	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1044J_R1_nohumanreads.fastq.gz	1044J_R2_nohumanreads.fastq.gz
SRR14092256	SRP199846	new	PRJNA545312	SAMN07491277	1044M_shotgun	1044M	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1044M_R1_nohumanreads.fastq.gz	1044M_R2_nohumanreads.fastq.gz
SRR14092255	SRP199846	new	PRJNA545312	SAMN07491280	1044P_shotgun	1044P	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1044P_R1_nohumanreads.fastq.gz	1044P_R2_nohumanreads.fastq.gz
SRR14092254	SRP199846	new	PRJNA545312	SAMN07491378	1105A_shotgun	1105A	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1105A_R1_nohumanreads.fastq.gz	1105A_R2_nohumanreads.fastq.gz
SRR14092253	SRP199846	new	PRJNA545312	SAMN07491379	1105B_shotgun	1105B	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1105B_R1_nohumanreads.fastq.gz	1105B_R2_nohumanreads.fastq.gz
SRR14092252	SRP199846	new	PRJNA545312	SAMN07491381	1105D_shotgun	1105D	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1105D_R1_nohumanreads.fastq.gz	1105D_R2_nohumanreads.fastq.gz
SRR14092251	SRP199846	new	PRJNA545312	SAMN07491383	1105F_shotgun	1105F	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1105F_R1_nohumanreads.fastq.gz	1105F_R2_nohumanreads.fastq.gz
SRR14092249	SRP199846	new	PRJNA545312	SAMN07491384	1105G_shotgun	1105G	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1105G_R1_nohumanreads.fastq.gz	1105G_R2_nohumanreads.fastq.gz
SRR14092248	SRP199846	new	PRJNA545312	SAMN07491385	1105H_shotgun	1105H	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1105H_R1_nohumanreads.fastq.gz	1105H_R2_nohumanreads.fastq.gz
SRR14092247	SRP199846	new	PRJNA545312	SAMN07491386	1105I_shotgun	1105I	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1105I_R1_nohumanreads.fastq.gz	1105I_R2_nohumanreads.fastq.gz
SRR14092246	SRP199846	new	PRJNA545312	SAMN07491387	1105J_shotgun	1105J	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1105J_R1_nohumanreads.fastq.gz	1105J_R2_nohumanreads.fastq.gz
SRR14092245	SRP199846	new	PRJNA545312	SAMN07491388	1105K_shotgun	1105K	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1105K_R1_nohumanreads.fastq.gz	1105K_R2_nohumanreads.fastq.gz
SRR14092244	SRP199846	new	PRJNA545312	SAMN07491389	1105L_shotgun	1105L	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1105L_R1_nohumanreads.fastq.gz	1105L_R2_nohumanreads.fastq.gz
SRR14092243	SRP199846	new	PRJNA545312	SAMN07491392	1105O_shotgun	1105O	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1105O_R1_nohumanreads.fastq.gz	1105O_R2_nohumanreads.fastq.gz
SRR14092242	SRP199846	new	PRJNA545312	SAMN07491395	1105R_shotgun	1105R	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1105R_R1_nohumanreads.fastq.gz	1105R_R2_nohumanreads.fastq.gz
SRR14092241	SRP199846	new	PRJNA545312	SAMN07491396	1105S_shotgun	1105S	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1105S_R1_nohumanreads.fastq.gz	1105S_R2_nohumanreads.fastq.gz
SRR14092240	SRP199846	new	PRJNA545312	SAMN07491397	1105T_shotgun	1105T	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1105T_R1_nohumanreads.fastq.gz	1105T_R2_nohumanreads.fastq.gz
SRR14092238	SRP199846	new	PRJNA545312	SAMN07491398	1105U_shotgun	1105U	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1105U_R1_nohumanreads.fastq.gz	1105U_R2_nohumanreads.fastq.gz
SRR14092237	SRP199846	new	PRJNA545312	SAMN07491416	1110H_shotgun	1110H	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1110H_R1_nohumanreads.fastq.gz	1110H_R2_nohumanreads.fastq.gz
SRR14092236	SRP199846	new	PRJNA545312	SAMN07491421	1110M_shotgun	1110M	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1110M_R1_nohumanreads.fastq.gz	1110M_R2_nohumanreads.fastq.gz
SRR14092235	SRP199846	new	PRJNA545312	SAMN07560315	1179B_shotgun	1179B	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1179B_R1_nohumanreads.fastq.gz	1179B_R2_nohumanreads.fastq.gz
SRR14092234	SRP199846	new	PRJNA545312	SAMN07560316	1179C_shotgun	1179C	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1179C_R1_nohumanreads.fastq.gz	1179C_R2_nohumanreads.fastq.gz
SRR14092233	SRP199846	new	PRJNA545312	SAMN12018898	1179D_shotgun	1179D	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1179D_R1_nohumanreads.fastq.gz	1179D_R2_nohumanreads.fastq.gz
SRR14092232	SRP199846	new	PRJNA545312	SAMN12018899	1179E_shotgun	1179E	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1179E_R1_nohumanreads.fastq.gz	1179E_R2_nohumanreads.fastq.gz
SRR14092231	SRP199846	new	PRJNA545312	SAMN07560320	1179I_shotgun	1179I	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1179I_R1_nohumanreads.fastq.gz	1179I_R2_nohumanreads.fastq.gz
SRR14092230	SRP199846	new	PRJNA545312	SAMN13273359	1179L_shotgun	1179L	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1179L_R1_nohumanreads.fastq.gz	1179L_R2_nohumanreads.fastq.gz
SRR14092229	SRP199846	new	PRJNA545312	SAMN13273362	1179O_shotgun	1179O	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1179O_R1_nohumanreads.fastq.gz	1179O_R2_nohumanreads.fastq.gz
SRR14092227	SRP199846	new	PRJNA545312	SAMN13273364	1179Q_shotgun	1179Q	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1179Q_R1_nohumanreads.fastq.gz	1179Q_R2_nohumanreads.fastq.gz
SRR14092226	SRP199846	new	PRJNA545312	SAMN13273368	1179Y_shotgun	1179Y	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1179Y_R1_nohumanreads.fastq.gz	1179Y_R2_nohumanreads.fastq.gz
SRR14092225	SRP199846	new	PRJNA545312	SAMN07560336	1193A_shotgun	1193A	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1193A_R1_nohumanreads.fastq.gz	1193A_R2_nohumanreads.fastq.gz
SRR14092224	SRP199846	new	PRJNA545312	SAMN12019635	1193B_shotgun	1193B	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1193B_R1_nohumanreads.fastq.gz	1193B_R2_nohumanreads.fastq.gz
SRR14092223	SRP199846	new	PRJNA545312	SAMN07560337	1193C_shotgun	1193C	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1193C_R1_nohumanreads.fastq.gz	1193C_R2_nohumanreads.fastq.gz
SRR14092222	SRP199846	new	PRJNA545312	SAMN12019636	1193D_shotgun	1193D	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1193D_R1_nohumanreads.fastq.gz	1193D_R2_nohumanreads.fastq.gz
SRR14092221	SRP199846	new	PRJNA545312	SAMN12019637	1193E_shotgun	1193E	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1193E_R1_nohumanreads.fastq.gz	1193E_R2_nohumanreads.fastq.gz
SRR14092220	SRP199846	new	PRJNA545312	SAMN12019638	1193F_shotgun	1193F	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1193F_R1_nohumanreads.fastq.gz	1193F_R2_nohumanreads.fastq.gz
SRR14092219	SRP199846	new	PRJNA545312	SAMN07560338	1193G_shotgun	1193G	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1193G_R1_nohumanreads.fastq.gz	1193G_R2_nohumanreads.fastq.gz
SRR14092218	SRP199846	new	PRJNA545312	SAMN12019639	1193H_shotgun	1193H	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1193H_R1_nohumanreads.fastq.gz	1193H_R2_nohumanreads.fastq.gz
SRR14092216	SRP199846	new	PRJNA545312	SAMN12018655	1203G_shotgun	1203G	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1203G_R1_nohumanreads.fastq.gz	1203G_R2_nohumanreads.fastq.gz
SRR14092215	SRP199846	new	PRJNA545312	SAMN12018656	1203H_shotgun	1203H	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1203H_R1_nohumanreads.fastq.gz	1203H_R2_nohumanreads.fastq.gz
SRR14092214	SRP199846	new	PRJNA545312	SAMN12018657	1203I_shotgun	1203I	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1203I_R1_nohumanreads.fastq.gz	1203I_R2_nohumanreads.fastq.gz
SRR14092213	SRP199846	new	PRJNA545312	SAMN12018664	1203Q_shotgun	1203Q	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1203Q_R1_nohumanreads.fastq.gz	1203Q_R2_nohumanreads.fastq.gz
SRR14092212	SRP199846	new	PRJNA545312	SAMN12018665	1203R_shotgun	1203R	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1203R_R1_nohumanreads.fastq.gz	1203R_R2_nohumanreads.fastq.gz
SRR14092211	SRP199846	new	PRJNA545312	SAMN12018666	1203S_shotgun	1203S	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1203S_R1_nohumanreads.fastq.gz	1203S_R2_nohumanreads.fastq.gz
SRR14092210	SRP199846	new	PRJNA545312	SAMN12018667	1203T_shotgun	1203T	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1203T_R1_nohumanreads.fastq.gz	1203T_R2_nohumanreads.fastq.gz
SRR14092209	SRP199846	new	PRJNA545312	SAMN12018668	1203V_shotgun	1203V	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1203V_R1_nohumanreads.fastq.gz	1203V_R2_nohumanreads.fastq.gz
SRR14092208	SRP199846	new	PRJNA545312	SAMN13272128	1230A_shotgun	1230A	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1230A_R1_nohumanreads.fastq.gz	1230A_R2_nohumanreads.fastq.gz
SRR14092207	SRP199846	new	PRJNA545312	SAMN12019164	1230H_shotgun	1230H	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1230H_R1_nohumanreads.fastq.gz	1230H_R2_nohumanreads.fastq.gz
SRR14092205	SRP199846	new	PRJNA545312	SAMN12018614	1252A_shotgun	1252A	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1252A_R1_nohumanreads.fastq.gz	1252A_R2_nohumanreads.fastq.gz
SRR14092204	SRP199846	new	PRJNA545312	SAMN07560379	1252AAA_shotgun	1252AAA	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1252AAA_R1_nohumanreads.fastq.gz	1252AAA_R2_nohumanreads.fastq.gz
SRR14092203	SRP199846	new	PRJNA545312	SAMN12018615	1252B_shotgun	1252B	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1252B_R1_nohumanreads.fastq.gz	1252B_R2_nohumanreads.fastq.gz
SRR14092202	SRP199846	new	PRJNA545312	SAMN13273813	1252BBB_shotgun	1252BBB	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1252BBB_R1_nohumanreads.fastq.gz	1252BBB_R2_nohumanreads.fastq.gz
SRR14092201	SRP199846	new	PRJNA545312	SAMN07560384	1252DD_shotgun	1252DD	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1252DD_R1_nohumanreads.fastq.gz	1252DD_R2_nohumanreads.fastq.gz
SRR14092200	SRP199846	new	PRJNA545312	SAMN12018616	1252E_shotgun	1252E	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1252E_R1_nohumanreads.fastq.gz	1252E_R2_nohumanreads.fastq.gz
SRR14092199	SRP199846	new	PRJNA545312	SAMN07560385	1252EE_shotgun	1252EE	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1252EE_R1_nohumanreads.fastq.gz	1252EE_R2_nohumanreads.fastq.gz
SRR14092198	SRP199846	new	PRJNA545312	SAMN12018617	1252F_shotgun	1252F	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1252F_R1_nohumanreads.fastq.gz	1252F_R2_nohumanreads.fastq.gz
SRR14092197	SRP199846	new	PRJNA545312	SAMN07560386	1252FF_shotgun	1252FF	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1252FF_R1_nohumanreads.fastq.gz	1252FF_R2_nohumanreads.fastq.gz
SRR14092196	SRP199846	new	PRJNA545312	SAMN07560387	1252GG_shotgun	1252GG	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1252GG_R1_nohumanreads.fastq.gz	1252GG_R2_nohumanreads.fastq.gz
SRR14092194	SRP199846	new	PRJNA545312	SAMN07560391	1252II_shotgun	1252II	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1252II_R1_nohumanreads.fastq.gz	1252II_R2_nohumanreads.fastq.gz
SRR14092193	SRP199846	new	PRJNA545312	SAMN07560392	1252J_shotgun	1252J	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1252J_R1_nohumanreads.fastq.gz	1252J_R2_nohumanreads.fastq.gz
SRR14092192	SRP199846	new	PRJNA545312	SAMN07560394	1252K_shotgun	1252K	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1252K_R1_nohumanreads.fastq.gz	1252K_R2_nohumanreads.fastq.gz
