accession	study	object_status	bioproject_accession	biosample_accession	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2
SRR14140864	SRP162022	new	PRJNA491657	SAMN07491277	1044M_isolate_VRE1	1044M	WGS	GENOMIC	RANDOM	PAIRED	Illumina	Illumina MiSeq	colony isolated from human stool	fastq	pt1044_D10_1_R1.fastq.gz	pt1044_D10_1_R2.fastq.gz
SRR14140862	SRP162022	new	PRJNA491657	SAMN07491277	1044M_isolate_VRE2	1044M	WGS	GENOMIC	RANDOM	PAIRED	Illumina	Illumina MiSeq	colony isolated from human stool	fastq	pt1044_D10_2_R1.fastq.gz	pt1044_D10_2_R2.fastq.gz
SRR14140861	SRP162022	new	PRJNA491657	SAMN07491277	1044M_isolate_VRE3	1044M	WGS	GENOMIC	RANDOM	PAIRED	Illumina	Illumina MiSeq	colony isolated from human stool	fastq	pt1044_D10_3_R1.fastq.gz	pt1044_D10_3_R2.fastq.gz
SRR14140860	SRP162022	new	PRJNA491657	SAMN07491277	1044M_isolate_VRE4	1044M	WGS	GENOMIC	RANDOM	PAIRED	Illumina	Illumina MiSeq	colony isolated from human stool	fastq	pt1044_D10_4_R1.fastq.gz	pt1044_D10_4_R2.fastq.gz
SRR14140859	SRP162022	new	PRJNA491657	SAMN07491280	1044P_isolate_VRE1	1044P	WGS	GENOMIC	RANDOM	PAIRED	Illumina	Illumina MiSeq	colony isolated from human stool	fastq	pt1044_D13_1_R1.fastq.gz	pt1044_D13_1_R2.fastq.gz
SRR14140858	SRP162022	new	PRJNA491657	SAMN07491280	1044P_isolate_VRE2	1044P	WGS	GENOMIC	RANDOM	PAIRED	Illumina	Illumina MiSeq	colony isolated from human stool	fastq	pt1044_D13_2_R1.fastq.gz	pt1044_D13_2_R2.fastq.gz
SRR14140857	SRP162022	new	PRJNA491657	SAMN07491280	1044P_isolate_VRE3	1044P	WGS	GENOMIC	RANDOM	PAIRED	Illumina	Illumina MiSeq	colony isolated from human stool	fastq	pt1044_D13_3_R1.fastq.gz	pt1044_D13_3_R2.fastq.gz
SRR14140856	SRP162022	new	PRJNA491657	SAMN12019006	1326H_isolate_VRE1	1326H	WGS	GENOMIC	RANDOM	PAIRED	Illumina	Illumina MiSeq	colony isolated from human stool	fastq	pt1326_D13_1_R1.fastq.gz	pt1326_D13_1_R2.fastq.gz
SRR14140855	SRP162022	new	PRJNA491657	SAMN12019006	1326H_isolate_VRE2	1326H	WGS	GENOMIC	RANDOM	PAIRED	Illumina	Illumina MiSeq	colony isolated from human stool	fastq	pt1326_D13_2_R1.fastq.gz	pt1326_D13_2_R2.fastq.gz
SRR14140854	SRP162022	new	PRJNA491657	SAMN12019006	1326H_isolate_VRE3	1326H	WGS	GENOMIC	RANDOM	PAIRED	Illumina	Illumina MiSeq	colony isolated from human stool	fastq	pt1326_D13_3_R1.fastq.gz	pt1326_D13_3_R2.fastq.gz
SRR14140853	SRP162022	new	PRJNA491657	SAMN12019006	1326H_isolate_VRE4	1326H	WGS	GENOMIC	RANDOM	PAIRED	Illumina	Illumina MiSeq	colony isolated from human stool	fastq	pt1326_D13_4_R1.fastq.gz	pt1326_D13_4_R2.fastq.gz
SRR14140851	SRP162022	new	PRJNA491657	SAMN12019006	1326H_isolate_VRE5	1326H	WGS	GENOMIC	RANDOM	PAIRED	Illumina	Illumina MiSeq	colony isolated from human stool	fastq	pt1326_D13_5_R1.fastq.gz	pt1326_D13_5_R2.fastq.gz
SRR14140850	SRP162022	new	PRJNA491657	SAMN12019007	1326I_isolate_VRE1	1326I	WGS	GENOMIC	RANDOM	PAIRED	Illumina	Illumina MiSeq	colony isolated from human stool	fastq	pt1326_D18_1_R1.fastq.gz	pt1326_D18_1_R2.fastq.gz
SRR14140849	SRP162022	new	PRJNA491657	SAMN12019007	1326I_isolate_VRE2	1326I	WGS	GENOMIC	RANDOM	PAIRED	Illumina	Illumina MiSeq	colony isolated from human stool	fastq	pt1326_D18_2_R1.fastq.gz	pt1326_D18_2_R2.fastq.gz
SRR14140848	SRP162022	new	PRJNA491657	SAMN10082787	139D_isolate_VRE1	139D	WGS	GENOMIC	RANDOM	PAIRED	Illumina	Illumina MiSeq	colony isolated from human stool	fastq	pt139_D11_1_R1.fastq.gz	pt139_D11_1_R2.fastq.gz
SRR14140847	SRP162022	new	PRJNA491657	SAMN10082787	139D_isolate_VRE2	139D	WGS	GENOMIC	RANDOM	PAIRED	Illumina	Illumina MiSeq	colony isolated from human stool	fastq	pt139_D11_2_R1.fastq.gz	pt139_D11_2_R2.fastq.gz
SRR14140846	SRP162022	new	PRJNA491657	SAMN10082787	139D_isolate_VRE3	139D	WGS	GENOMIC	RANDOM	PAIRED	Illumina	Illumina MiSeq	colony isolated from human stool	fastq	pt139_D11_3_R1.fastq.gz	pt139_D11_3_R2.fastq.gz
SRR14140845	SRP162022	new	PRJNA491657	SAMN10082787	139D_isolate_VRE4	139D	WGS	GENOMIC	RANDOM	PAIRED	Illumina	Illumina MiSeq	colony isolated from human stool	fastq	pt139_D11_4_R1.fastq.gz	pt139_D11_4_R2.fastq.gz
SRR14140844	SRP162022	new	PRJNA491657	SAMN10082787	139D_isolate_VRE5	139D	WGS	GENOMIC	RANDOM	PAIRED	Illumina	Illumina MiSeq	colony isolated from human stool	fastq	pt139_D11_5_R1.fastq.gz	pt139_D11_5_R2.fastq.gz
SRR14140843	SRP162022	new	PRJNA491657	SAMN10084849	843A_isolate_VRE1	843A	WGS	GENOMIC	RANDOM	PAIRED	Illumina	Illumina MiSeq	colony isolated from human stool	fastq	pt843_D-7_1_R1.fastq.gz	pt843_D-7_1_R2.fastq.gz
SRR14140842	SRP162022	new	PRJNA491657	SAMN10084849	843A_isolate_VRE2	843A	WGS	GENOMIC	RANDOM	PAIRED	Illumina	Illumina MiSeq	colony isolated from human stool	fastq	pt843_D-7_2_R1.fastq.gz	pt843_D-7_2_R2.fastq.gz
SRR14140840	SRP162022	new	PRJNA491657	SAMN10084849	843A_isolate_VRE3	843A	WGS	GENOMIC	RANDOM	PAIRED	Illumina	Illumina MiSeq	colony isolated from human stool	fastq	pt843_D-7_3_R1.fastq.gz	pt843_D-7_3_R2.fastq.gz
SRR14140839	SRP162022	new	PRJNA491657	SAMN10084849	843A_isolate_VRE4	843A	WGS	GENOMIC	RANDOM	PAIRED	Illumina	Illumina MiSeq	colony isolated from human stool	fastq	pt843_D-7_4_R1.fastq.gz	pt843_D-7_4_R2.fastq.gz
SRR14140838	SRP162022	new	PRJNA491657	SAMN10084849	843A_isolate_VRE5	843A	WGS	GENOMIC	RANDOM	PAIRED	Illumina	Illumina MiSeq	colony isolated from human stool	fastq	pt843_D-7_5_R1.fastq.gz	pt843_D-7_5_R2.fastq.gz
SRR14140837	SRP162022	new	PRJNA491657	SAMN10084850	843B_isolate_VRE1	843B	WGS	GENOMIC	RANDOM	PAIRED	Illumina	Illumina MiSeq	colony isolated from human stool	fastq	pt843_D-4_1_R1.fastq.gz	pt843_D-4_1_R2.fastq.gz
SRR14140836	SRP162022	new	PRJNA491657	SAMN10084850	843B_isolate_VRE2	843B	WGS	GENOMIC	RANDOM	PAIRED	Illumina	Illumina MiSeq	colony isolated from human stool	fastq	pt843_D-4_2_R1.fastq.gz	pt843_D-4_2_R2.fastq.gz
SRR14140835	SRP162022	new	PRJNA491657	SAMN10084850	843B_isolate_VRE3	843B	WGS	GENOMIC	RANDOM	PAIRED	Illumina	Illumina MiSeq	colony isolated from human stool	fastq	pt843_D-4_3_R1.fastq.gz	pt843_D-4_3_R2.fastq.gz
SRR14140834	SRP162022	new	PRJNA491657	SAMN10084850	843B_isolate_VRE4	843B	WGS	GENOMIC	RANDOM	PAIRED	Illumina	Illumina MiSeq	colony isolated from human stool	fastq	pt843_D-4_4_R1.fastq.gz	pt843_D-4_4_R2.fastq.gz
SRR14140833	SRP162022	new	PRJNA491657	SAMN10084850	843B_isolate_VRE5	843B	WGS	GENOMIC	RANDOM	PAIRED	Illumina	Illumina MiSeq	colony isolated from human stool	fastq	pt843_D-4_5_R1.fastq.gz	pt843_D-4_5_R2.fastq.gz
SRR14140832	SRP162022	new	PRJNA491657	SAMN10084851	843C_isolate_VRE1	843C	WGS	GENOMIC	RANDOM	PAIRED	Illumina	Illumina MiSeq	colony isolated from human stool	fastq	pt843_D4_1_R1.fastq.gz	pt843_D4_1_R2.fastq.gz
SRR14140831	SRP162022	new	PRJNA491657	SAMN10084851	843C_isolate_VRE2	843C	WGS	GENOMIC	RANDOM	PAIRED	Illumina	Illumina MiSeq	colony isolated from human stool	fastq	pt843_D4_2_R1.fastq.gz	pt843_D4_2_R2.fastq.gz
SRR14140829	SRP162022	new	PRJNA491657	SAMN10084851	843C_isolate_VRE3	843C	WGS	GENOMIC	RANDOM	PAIRED	Illumina	Illumina MiSeq	colony isolated from human stool	fastq	pt843_D4_3_R1.fastq.gz	pt843_D4_3_R2.fastq.gz
SRR14140828	SRP162022	new	PRJNA491657	SAMN10084851	843C_isolate_VRE4	843C	WGS	GENOMIC	RANDOM	PAIRED	Illumina	Illumina MiSeq	colony isolated from human stool	fastq	pt843_D4_4_R1.fastq.gz	pt843_D4_4_R2.fastq.gz
SRR14140827	SRP162022	new	PRJNA491657	SAMN10084851	843C_isolate_VRE5	843C	WGS	GENOMIC	RANDOM	PAIRED	Illumina	Illumina MiSeq	colony isolated from human stool	fastq	pt843_D4_5_R1.fastq.gz	pt843_D4_5_R2.fastq.gz
SRR14140826	SRP162022	new	PRJNA491657	SAMN10084852	843D_isolate_VRE1	843D	WGS	GENOMIC	RANDOM	PAIRED	Illumina	Illumina MiSeq	colony isolated from human stool	fastq	pt843_D12_1_R1.fastq.gz	pt843_D12_1_R2.fastq.gz
SRR14140825	SRP162022	new	PRJNA491657	SAMN10084852	843D_isolate_VRE2	843D	WGS	GENOMIC	RANDOM	PAIRED	Illumina	Illumina MiSeq	colony isolated from human stool	fastq	pt843_D12_2_R1.fastq.gz	pt843_D12_2_R2.fastq.gz
SRR14140824	SRP162022	new	PRJNA491657	SAMN10084852	843D_isolate_VRE3	843D	WGS	GENOMIC	RANDOM	PAIRED	Illumina	Illumina MiSeq	colony isolated from human stool	fastq	pt843_D12_3_R1.fastq.gz	pt843_D12_3_R2.fastq.gz
SRR14140823	SRP162022	new	PRJNA491657	SAMN10084852	843D_isolate_VRE4	843D	WGS	GENOMIC	RANDOM	PAIRED	Illumina	Illumina MiSeq	colony isolated from human stool	fastq	pt843_D12_4_R1.fastq.gz	pt843_D12_4_R2.fastq.gz
SRR14140822	SRP162022	new	PRJNA491657	SAMN10084852	843D_isolate_VRE5	843D	WGS	GENOMIC	RANDOM	PAIRED	Illumina	Illumina MiSeq	colony isolated from human stool	fastq	pt843_D12_5_R1.fastq.gz	pt843_D12_5_R2.fastq.gz
SRR14140821	SRP162022	new	PRJNA491657	SAMN10084853	843E_isolate_VRE1	843E	WGS	GENOMIC	RANDOM	PAIRED	Illumina	Illumina MiSeq	colony isolated from human stool	fastq	pt843_D21_1_R1.fastq.gz	pt843_D21_1_R2.fastq.gz
SRR14140820	SRP162022	new	PRJNA491657	SAMN10084853	843E_isolate_VRE2	843E	WGS	GENOMIC	RANDOM	PAIRED	Illumina	Illumina MiSeq	colony isolated from human stool	fastq	pt843_D21_2_R1.fastq.gz	pt843_D21_2_R2.fastq.gz
SRR14140818	SRP162022	new	PRJNA491657	SAMN10084853	843E_isolate_VRE3	843E	WGS	GENOMIC	RANDOM	PAIRED	Illumina	Illumina MiSeq	colony isolated from human stool	fastq	pt843_D21_3_R1.fastq.gz	pt843_D21_3_R2.fastq.gz
SRR14140817	SRP162022	new	PRJNA491657	SAMN10084853	843E_isolate_VRE4	843E	WGS	GENOMIC	RANDOM	PAIRED	Illumina	Illumina MiSeq	colony isolated from human stool	fastq	pt843_D21_4_R1.fastq.gz	pt843_D21_4_R2.fastq.gz
SRR14140816	SRP162022	new	PRJNA491657	SAMN10084853	843E_isolate_VRE5	843E	WGS	GENOMIC	RANDOM	PAIRED	Illumina	Illumina MiSeq	colony isolated from human stool	fastq	pt843_D21_5_R1.fastq.gz	pt843_D21_5_R2.fastq.gz
